poi_id,destination_id,name,category,lat,lon,avg_visit_minutes,price_level,popularity_score,description,open_hour,close_hour
POI0796,PRG,Kafka Museum,museum,50.087984,14.410511,120,1,4.3,Kafka Museum is a museum in Prague.,10,18
POI0797,PRG,11. zastavení,landmark,50.083301,14.394174,60,1,4.0,"11. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0798,PRG,František Langer,history,50.073026,14.406626,60,0,4.0,"František Langer is a statue in Smíchov, Czech Republic, in Prague.",8,19
POI0799,PRG,svatý Jiljí,religion,50.085007,14.418627,30,0,4.2,"svatý Jiljí is a church building in Old Town, Czech Republic, in Prague.",7,19
POI0800,PRG,VIVO!,shopping,50.053152,14.517476,60,1,4.1,VIVO! is a shopping mall in Prague.,6,22
POI0801,PRG,Dejvické divadlo,culture,50.106678,14.393144,90,1,4.1,"Dejvické divadlo is a theatre in Prague, Czech Republic.",16,19
POI0802,PRG,náměstí Organizace spojených národů,nature,50.110119,14.502975,90,0,4.1,"náměstí Organizace spojených národů is a square in Prague, Czech Republic.",0,24
POI0803,PRG,Lucerna Music Bar,nightlife,50.081269,14.42532,120,1,4.1,Lucerna Music Bar is a music club in Prague.,18,2
POI0804,PRG,Farmářské trhy,food,50.050906,14.439522,60,1,4.0,A well-regarded food destination in Prague.,8,18
POI0805,PRG,DOX,museum,50.106785,14.447555,120,1,4.1,"DOX is a museum in Czech Republic, in Prague.",11,19
POI0806,PRG,12. zastavení,landmark,50.083274,14.394656,60,1,4.0,"12. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0807,PRG,Tomáš Garrigue Masaryk,history,50.089487,14.397932,60,0,4.2,Tomáš Garrigue Masaryk is a bronze sculpture installed at Prague Castle in Prague.,8,19
POI0808,PRG,Panna Maria pod Řetězem,religion,50.086581,14.40648,30,0,4.3,Panna Maria pod Řetězem is a church in Prague.,7,19
POI0809,PRG,Novodvorská Plaza,shopping,50.026764,14.43294,60,1,4.1,Novodvorská Plaza is a shopping mall in Prague.,9,21
POI0810,PRG,Studio Ypsilon,culture,50.080888,14.420284,90,1,4.1,"Studio Ypsilon is a theatre in Prague, Czech Republic.",9,20
POI0811,PRG,Čelakovského sady,nature,50.078259,14.4304,90,0,4.0,"Čelakovského sady is a street in Prague, Czech Republic.",0,24
POI0812,PRG,Autentista,nightlife,50.085426,14.417586,120,1,4.0,"Autentista is a building in Prague, Czech Republic.",18,2
POI0813,PRG,Holešovické trhy,food,50.100152,14.445038,60,1,4.0,A well-regarded food destination in Prague.,7,17
POI0814,PRG,Národní galerie v Praze - Veletržní palác,museum,50.101523,14.432334,120,1,4.4,"Národní galerie v Praze - Veletržní palác is an art museum in Prague, Czechia.",10,18
POI0815,PRG,13. zastavení,landmark,50.083251,14.395139,60,1,4.0,"13. zastavení is a chapel in Czech Republic, in Prague.",8,20
POI0816,PRG,Alois Jirásek,history,50.075921,14.414336,60,0,4.2,"Alois Jirásek is a statue of Alois, in Prague.",8,19
POI0817,PRG,svatý Vavřinec,religion,50.083079,14.396104,30,0,4.3,"svatý Vavřinec is a cathedral, in Prague.",7,19
POI0818,PRG,Galerie Harfa,shopping,50.104294,14.490906,60,1,4.1,"Galerie Harfa is a shopping mall in Prague, Czech Republic.",10,20
POI0819,PRG,Divadlo V Dlouhé,culture,50.091235,14.42675,90,1,4.1,"Divadlo V Dlouhé is a theatre in Prague, Czechia.",9,20
POI0820,PRG,Velká strahovská zahrada,nature,50.085695,14.39183,90,0,4.1,A green space in Prague.,0,24
POI0821,PRG,Vinárna U Laury,nightlife,50.088693,14.401336,120,1,4.0,"Vinárna U Laury is a house in Malá Strana, Czech Republic, in Prague.",18,2
POI0822,PRG,Food Story,food,50.089214,14.422731,60,1,4.0,A well-regarded food destination in Prague.,9,21
POI0823,PRG,Království železnic,museum,50.071324,14.402534,120,1,4.1,A notable museum in Prague.,9,19
POI0824,PRG,14. zastavení,landmark,50.083226,14.395614,60,1,4.0,A well-known landmark in Prague.,8,20
POI0825,PRG,Jakub Arbes,history,50.07645,14.40532,60,0,4.0,"Jakub Arbes is a statue in Smíchov, Czech Republic, in Prague.",8,19
POI0826,PRG,Matka Boží před Týnem,religion,50.087711,14.422707,30,0,4.4,"Matka Boží před Týnem is a church building in Old Town, Czech Republic, in Prague.",10,13
